Person,Total_Occurrences,Number_Of_Books,Is_Real_Biblical_Name
God,920,52,True
Lord,912,47,True
Christ,363,45,True
Jesus,231,35,True
David,213,17,True
Juda,189,22,False
Father,106,31,True
Jacob,102,15,True
Aaron,87,9,False
Jesus Christ,80,19,False
Holy Ghost,67,21,True
John,60,7,True
Abraham,57,11,True
Joseph,56,12,True
Peter,47,7,True
Saul,46,5,False
Gentiles,45,9,False
Moab,45,11,False
Sion,43,5,False
Jeremias,42,4,False
Benjamin,41,10,False
Solomon,39,9,True
Dan,38,11,False
Paul,36,9,True
Isaac,36,6,True
Ephraim,35,10,False
Galilee,34,5,False
Galaad,32,11,False
Pharisees,30,5,False
Domine,30,1,False
Ammon,29,9,False
Simon,28,5,False
Libanus,27,8,False
Levi,27,7,False
Pharao,24,5,False
Manasses,24,6,False
James,24,5,False
Nun,22,4,False
Babylon,21,5,False
Sedecias,21,3,False
Mary,20,6,True
Deus,20,1,False
Elias,19,5,False
Samuel,18,2,False
Alleluia,18,1,False
Jonathan,17,3,False
Hebrews,16,4,False
Joab,16,2,False
Judea,16,5,False
Daniel,16,2,False
Blessed,16,6,False
Bethel,15,5,False
Judas,15,5,False
Aser,15,6,False
Timothy,14,6,False
Joakim,14,3,False
Achab,13,2,False
Jordan,13,3,False
Sidon,13,6,False
Josue,13,1,False
Abiathar,12,3,False
Gabaa,12,3,False
Jeroboam,12,2,False
Baal,12,4,False
Nabuchodonosor,12,4,False
Emath,11,5,False
Philip,11,4,False
Nephtali,11,3,False
Adam,11,3,False
Absalom,10,2,False
Sara,10,2,False
John the Baptist,10,3,True
Antichrist,9,3,False
Jezrahel,9,4,False
Abisai,9,1,False
Eliseus,9,1,False
Ezechias,9,2,False
Josias,9,2,False
Depart,9,3,False
Capharnaum,9,4,False
Baalim,8,3,False
Grace,8,4,False
Gabaon,8,3,False
Machir,8,3,False
Ochozias,8,1,False
Amos,8,2,False
Caesarea,8,1,False
Hethite,8,2,False
Cham,8,2,False
Lia,8,1,False
Andrew,8,3,False
Simon Peter,8,2,False
Zebedee,8,3,False
Lamb,8,1,False
Ephesus,7,3,False
Bersabee,7,3,False
Josaphat,7,2,False
Helcias,7,3,False
"Jesus
Christ",7,3,False
Barnabas,7,1,False
Rachel,7,1,False
Woe,7,2,False
Jechonias,7,1,False
Judas Iscariot,7,3,False
Angel,7,1,False
Abigail,6,2,False
Banaias,6,2,False
Rohob,6,3,False
Jehu,6,2,False
Alexander,6,2,False
Cilicia,6,1,False
Michael,6,2,False
Melcha,6,2,False
Hai,6,2,False
Mambre,6,1,False
Abimelech,6,2,False
Nathanael,6,2,False
Mary Magdalen,6,3,False
Balaam,6,2,False
Matthew,6,3,True
Dragon,6,1,False
Accaron,5,2,False
Michol,5,2,False
Achaia,5,2,False
Sadoc,5,2,False
Ela,5,2,False
Benadad,5,2,False
Azarias,5,2,False
Zacharias,5,2,False
Rasin,5,2,False
Arphad,5,2,False
Eliacim,5,2,False
the Holy Ghost,5,1,False
Abiu,5,2,False
Jezonias,5,2,False
Bala,5,1,False
Zelpha,5,1,False
Moabites,5,2,False
Nabuzardan,5,1,False
Chanaanite,5,1,False
Matt,5,2,False
Herod,5,2,False
Confitemini Domino,5,1,False
Beast,5,1,False
Cephas,4,1,False
Anna,4,2,False
Nay,4,2,False
Achinoam,4,1,False
Ner,4,2,False
Maacha,4,2,False
Achitophel,4,1,False
Chusai,4,1,False
Sunamitess,4,2,False
Roboam,4,1,False
Jezabel,4,1,False
Joram,4,1,False
Hazael,4,1,False
Achaz,4,2,False
Joachin,4,2,False
Gamaliel,4,2,False
Darius,4,1,False
Num,4,2,False
Sinai,4,2,False
Chobar,4,1,False
Rebecca,4,1,False
Ascalon,4,2,False
Ahicam,4,1,False
Bethsaida,4,2,False
Thomas,4,1,False
Gazer,4,1,False
Asor,4,1,False
Jerobaal,4,1,False
Lamed,4,1,False
Res,4,1,False
Samech,4,1,False
Coph,4,1,False
Zain,4,1,False
Mem,4,1,False
Aleph,4,1,False
Aminadab,4,1,False
Phegiel,4,1,False
Abidan,4,1,False
Elisama,4,1,False
Ahira,4,1,False
False Prophet,4,1,False
Ruth,4,1,False
Noemi,4,1,False
Cis,3,1,False
Goliath,3,1,False
Asael,3,1,False
Berzellai,3,1,False
Hiram,3,1,False
Nabat,3,1,False
Giezi,3,1,False
Samaria,3,1,False
Cyrene,3,1,False
Ananias,3,1,False
Stephen,3,1,False
Joppe,3,1,False
Antioch,3,1,False
Lystra,3,1,False
Silas,3,1,False
Omega,3,1,False
Alpha,3,1,False
Sidrach,3,1,False
Misach,3,1,False
Bel,3,1,False
Antiochus Epiphanes,3,1,False
Sephora,3,1,False
Achisamech,3,1,False
Uri,3,1,False
Ooliab,3,1,False
Enos,3,1,False
Zara,3,1,False
Gessen,3,1,False
Sophonias,3,1,False
Nerias,3,1,False
Selemias,3,1,False
Nathanias,3,1,False
Gosen,3,1,False
Asedoth,3,1,False
Jezrael,3,1,False
Bethhoron,3,1,False
Aod,3,1,False
Gedeon,3,1,False
Maspha,3,1,False
Samson,3,1,False
Ghimel,3,1,False
Joanna,3,1,False
Pharisee,3,1,False
Saviour,3,1,False
Nahasson,3,1,False
Gerson,3,1,False
Haseroth,3,1,False
Balac,3,1,False
Salphaad,3,1,False
Booz,3,1,False
Apollo,2,1,False
Phil,2,1,False
Ophni,2,1,False
Heli,2,1,False
Abiel,2,1,False
Galgal,2,1,False
Naas,2,1,False
Machmas,2,1,False
sword,2,1,False
Abinadab,2,1,False
Behold David,2,1,False
Nobe,2,1,False
Ziph,2,1,False
Maon,2,1,False
Amalecites,2,1,False
Gelboe,2,1,False
Respha,2,1,False
Nathan,2,1,False
Adarezer,2,1,False
Soba,2,1,False
Eliam,2,1,False
Ethai,2,1,False
Gera,2,1,False
Chron,2,1,False
Adonias,2,1,False
Abisag,2,1,False
Bethsabee,2,1,False
Adoniram,2,1,False
Ahias,2,1,False
Abiam,2,1,False
Gebbethon,2,1,False
Edom,2,1,False
Osee,2,1,False
Mark,2,1,True
Perge,2,1,False
Derbe,2,1,False
Berea,2,1,False
Whom,2,1,False
Gaius,2,1,False
Felix,2,1,False
Festus,2,1,False
Bernice,2,1,False
Agrippa,2,1,False
Sardis,2,1,False
Thyatira,2,1,False
myrrh,2,1,False
hart,2,1,False
Cyrus,2,1,False
Misael,2,1,False
Alexander the Great,2,1,False
Gabriel,2,1,False
Cadesbarne,2,1,False
Jeboc,2,1,False
Arnon,2,1,False
Lev,2,1,False
Extol,2,1,False
Gersam,2,1,False
Eliezer,2,1,False
Horeb,2,1,False
Jethro,2,1,False
Hur,2,1,False
Ezechiel,2,1,False
Jer,2,1,False
Gog,2,1,False
Jew,2,1,False
Lamech,2,1,False
Ada,2,1,False
Gerara,2,1,False
Heber,2,1,False
Aram,2,1,False
Jobab,2,1,False
Dadan,2,1,False
Sarai,2,1,False
Aran,2,1,False
Nachor,2,1,False
Segor,2,1,False
Cast,2,1,False
Bathuel,2,1,False
Seor,2,1,False
Laban,2,1,False
Sue,2,1,False
Basemath,2,1,False
Hemor,2,1,False
Simeon,2,1,False
Putiphar,2,1,False
Onan,2,1,False
Sela,2,1,False
Abel,2,1,False
Romelia,2,1,False
forsaken,2,1,False
Saron,2,1,False
Semeias,2,1,False
Juchal,2,1,False
Abdemelech,2,1,False
Godolias,2,1,False
Ismahel,2,1,False
Osaias,2,1,False
Messias,2,1,True
Cana,2,1,False
Martha,2,1,False
Caiphas,2,1,False
Lazarus,2,1,False
Paraclete,2,1,True
Didymus,2,1,False
Rahab,2,1,False
Gergesite,2,1,False
Jericho,2,1,False
Cades,2,1,False
Phasga,2,1,False
Jerimoth,2,1,False
Jaser,2,1,False
Apheca,2,1,False
Rogel,2,1,False
Eltholad,2,1,False
Siceleg,2,1,False
Ennom,2,1,False
Boen,2,1,False
Asan,2,1,False
Jether,2,1,False
Remmon,2,1,False
Geennom,2,1,False
Machmethath,2,1,False
Luza,2,1,False
Gabaath,2,1,False
Gethremmon,2,1,False
Aialon,2,1,False
Bosor,2,1,False
Chanaanites,2,1,False
Othoniel,2,1,False
Jos,2,1,False
Cison,2,1,False
Sisara,2,1,False
Debbora,2,1,False
Jahel,2,1,False
Ephra,2,1,False
Ezri,2,1,False
Abiezer,2,1,False
Madian,2,1,False
Jephte,2,1,False
Bethlehem Juda,2,1,False
Michas,2,1,False
Caph,2,1,False
bush,2,1,False
Son,2,1,False
meek,2,1,False
Jonas,2,1,False
Scriptures,2,1,False
Rabbi,2,1,False
Nadab,2,1,False
Caath,2,1,False
Dathan,2,1,False
Core,2,1,False
Abiron,2,1,False
Jazer,2,1,False
Arad,2,1,False
Hepher,2,1,False
Abarim,2,1,False
St Augustine,2,1,False
Deus Deus,2,1,False
Judica,2,1,False
Rebuke,2,1,False
Qui,2,1,False
Convert us,2,1,False
Benedic,2,1,False
Aggeus,2,1,False
kinsman,2,1,False
